Close price,Exchange Date
"1,452",06-Feb-2013
"1,457",07-Feb-2013
"1,442",08-Feb-2013
"1,415",11-Feb-2013
"1,412",12-Feb-2013
"1,423",13-Feb-2013
"1,418",14-Feb-2013
"1,409",15-Feb-2013
"1,400",18-Feb-2013
"1,399",19-Feb-2013
"1,404",20-Feb-2013
"1,419",21-Feb-2013
"1,424",22-Feb-2013
"1,434",25-Feb-2013
"1,416",26-Feb-2013
"1,411",27-Feb-2013
"1,409",28-Feb-2013
"1,381",01-Mar-2013
"1,362",04-Mar-2013
"1,365",05-Mar-2013
"1,367",06-Mar-2013
"1,386",07-Mar-2013
"1,426",08-Mar-2013
"1,440",11-Mar-2013
"1,452",12-Mar-2013
"1,453",13-Mar-2013
"1,441",14-Mar-2013
"1,427",15-Mar-2013
"1,414",18-Mar-2013
"1,418",19-Mar-2013
"1,446",20-Mar-2013
"1,455",21-Mar-2013
"1,446",22-Mar-2013
"1,435",25-Mar-2013
"1,447",26-Mar-2013
"1,452",27-Mar-2013
"1,467",28-Mar-2013
"1,471",02-Apr-2013
"1,452",03-Apr-2013
"1,444",04-Apr-2013
"1,431",05-Apr-2013
"1,473",08-Apr-2013
"1,485",09-Apr-2013
"1,481",10-Apr-2013
"1,488",11-Apr-2013
"1,504",12-Apr-2013
"1,504",15-Apr-2013
"1,534",16-Apr-2013
"1,545",17-Apr-2013
"1,546",18-Apr-2013
"1,558",19-Apr-2013
"1,541",22-Apr-2013
"1,551",23-Apr-2013
"1,551",24-Apr-2013
"1,551",25-Apr-2013
"1,542",26-Apr-2013
"1,523",29-Apr-2013
"1,544",30-Apr-2013
"1,566",01-May-2013
"1,565",02-May-2013
"1,563",03-May-2013
"1,563",07-May-2013
"1,556",08-May-2013
"1,554",09-May-2013
"1,541",10-May-2013
"1,580",13-May-2013
"1,597",14-May-2013
"1,569",15-May-2013
"1,529",16-May-2013
"1,549",17-May-2013
"1,538",20-May-2013
"1,569",21-May-2013
"1,562",22-May-2013
"1,537",23-May-2013
"1,522",24-May-2013
"1,503",28-May-2013
"1,504",29-May-2013
"1,500",30-May-2013
"1,491",31-May-2013
"1,507",03-Jun-2013
"1,528",04-Jun-2013
"1,552",05-Jun-2013
"1,568",06-Jun-2013
"1,563",07-Jun-2013
"1,557",10-Jun-2013
"1,551",11-Jun-2013
"1,548",12-Jun-2013
"1,506",13-Jun-2013
"1,464",14-Jun-2013
"1,440",17-Jun-2013
"1,439",18-Jun-2013
"1,436",19-Jun-2013
"1,415",20-Jun-2013
"1,420",21-Jun-2013
"1,413",24-Jun-2013
"1,428",25-Jun-2013
"1,441",26-Jun-2013
"1,434",27-Jun-2013
"1,440",28-Jun-2013
"1,432",01-Jul-2013
"1,451",02-Jul-2013
"1,476",03-Jul-2013
"1,510",04-Jul-2013
"1,504",05-Jul-2013
"1,484",08-Jul-2013
"1,502",09-Jul-2013
"1,491",10-Jul-2013
"1,520",11-Jul-2013
"1,515",12-Jul-2013
"1,515",15-Jul-2013
"1,538",16-Jul-2013
"1,585",17-Jul-2013
"1,608",18-Jul-2013
"1,609",19-Jul-2013
"1,591",22-Jul-2013
"1,598",23-Jul-2013
"1,595",24-Jul-2013
"1,591",25-Jul-2013
"1,576",26-Jul-2013
"1,543",29-Jul-2013
"1,555",30-Jul-2013
"1,572",31-Jul-2013
"1,575",01-Aug-2013
"1,566",02-Aug-2013
"1,611",05-Aug-2013
"1,610",06-Aug-2013
"1,644",07-Aug-2013
"1,655",08-Aug-2013
"1,648",09-Aug-2013
"1,655",12-Aug-2013
"1,633",13-Aug-2013
"1,652",14-Aug-2013
"1,647",15-Aug-2013
"1,643",16-Aug-2013
"1,651",19-Aug-2013
"1,654",20-Aug-2013
"1,618",21-Aug-2013
"1,630",22-Aug-2013
"1,636",23-Aug-2013
"1,629",27-Aug-2013
"1,654",28-Aug-2013
"1,648",29-Aug-2013
"1,639",30-Aug-2013
"1,622",02-Sep-2013
"1,618",03-Sep-2013
"1,657",04-Sep-2013
"1,715",05-Sep-2013
"1,714",06-Sep-2013
"1,700",09-Sep-2013
"1,703",10-Sep-2013
"1,699",11-Sep-2013
"1,709",12-Sep-2013
"1,699",13-Sep-2013
"1,722",16-Sep-2013
"1,705",17-Sep-2013
"1,712",18-Sep-2013
"1,709",19-Sep-2013
"1,700",20-Sep-2013
"1,703",23-Sep-2013
"1,700",24-Sep-2013
"1,675",25-Sep-2013
"1,698",26-Sep-2013
"1,711",27-Sep-2013
"1,707",30-Sep-2013
"1,691",01-Oct-2013
"1,687",02-Oct-2013
"1,663",03-Oct-2013
"1,694",04-Oct-2013
"1,747",07-Oct-2013
"1,754",08-Oct-2013
"1,753",09-Oct-2013
"1,767",10-Oct-2013
"1,779",11-Oct-2013
"1,753",14-Oct-2013
"1,782",15-Oct-2013
"1,775",16-Oct-2013
"1,768",17-Oct-2013
"1,731",18-Oct-2013
"1,735",21-Oct-2013
"1,753",22-Oct-2013
"1,722",23-Oct-2013
"1,706",24-Oct-2013
"1,720",25-Oct-2013
"1,701",28-Oct-2013
"1,690",29-Oct-2013
"1,682",30-Oct-2013
"1,697",31-Oct-2013
"1,695",01-Nov-2013
"1,688",04-Nov-2013
"1,728",05-Nov-2013
"1,725",06-Nov-2013
"1,702",07-Nov-2013
"1,697",08-Nov-2013
"1,659",11-Nov-2013
"1,683",12-Nov-2013
"1,703",13-Nov-2013
"1,710",14-Nov-2013
"1,739",15-Nov-2013
"1,763",18-Nov-2013
"1,775",19-Nov-2013
"1,783",20-Nov-2013
"1,770",21-Nov-2013
"1,763",22-Nov-2013
"1,766",25-Nov-2013
"1,742",26-Nov-2013
"1,726",27-Nov-2013
"1,736",28-Nov-2013
"1,736",29-Nov-2013
"1,746",02-Dec-2013
"1,735",03-Dec-2013
"1,721",04-Dec-2013
"1,716",05-Dec-2013
"1,742",06-Dec-2013
"1,702",09-Dec-2013
"1,713",10-Dec-2013
"1,718",11-Dec-2013
"1,732",12-Dec-2013
"1,767",13-Dec-2013
"1,784",16-Dec-2013
"1,784",17-Dec-2013
"1,771",18-Dec-2013
"1,780",19-Dec-2013
"1,798",20-Dec-2013
"1,791",23-Dec-2013
"1,809",24-Dec-2013
"1,760",27-Dec-2013
"1,716",30-Dec-2013
"1,730",31-Dec-2013
"1,680",02-Jan-2014
"1,730",03-Jan-2014
"1,706",06-Jan-2014
"1,712",07-Jan-2014
"1,724",08-Jan-2014
"1,716",09-Jan-2014
"1,733",10-Jan-2014
"1,744",13-Jan-2014
"1,762",14-Jan-2014
"1,765",15-Jan-2014
"1,773",16-Jan-2014
"1,730",17-Jan-2014
"1,741",20-Jan-2014
"1,717",21-Jan-2014
"1,718",22-Jan-2014
"1,773",23-Jan-2014
"1,777",24-Jan-2014
"1,830",27-Jan-2014
"1,833",28-Jan-2014
"1,842",29-Jan-2014
"1,849",30-Jan-2014
"1,844",31-Jan-2014
"1,862",03-Feb-2014
"1,840",04-Feb-2014
"1,845",05-Feb-2014
"1,847",06-Feb-2014
"1,867",07-Feb-2014
"1,862",10-Feb-2014
"1,861",11-Feb-2014
"1,871",12-Feb-2014
"1,865",13-Feb-2014
"1,860",14-Feb-2014
"1,863",17-Feb-2014
"1,858",18-Feb-2014
"1,839",19-Feb-2014
"1,856",20-Feb-2014
"1,843",21-Feb-2014
"1,840",24-Feb-2014
"1,810",25-Feb-2014
"1,814",26-Feb-2014
"1,825",27-Feb-2014
"1,838",28-Feb-2014
"1,814",03-Mar-2014
"1,828",04-Mar-2014
"1,833",05-Mar-2014
"1,829",06-Mar-2014
"1,842",07-Mar-2014
"1,849",10-Mar-2014
"1,866",11-Mar-2014
"1,847",12-Mar-2014
"1,871",13-Mar-2014
"1,888",14-Mar-2014
"1,898",17-Mar-2014
"1,897",18-Mar-2014
"1,899",19-Mar-2014
"1,882",20-Mar-2014
"1,879",21-Mar-2014
"1,873",24-Mar-2014
"1,875",25-Mar-2014
"1,875",26-Mar-2014
"1,870",27-Mar-2014
"1,883",28-Mar-2014
"1,867",31-Mar-2014
"1,856",01-Apr-2014
"1,845",02-Apr-2014
"1,849",03-Apr-2014
"1,875",04-Apr-2014
"1,869",07-Apr-2014
"1,875",08-Apr-2014
"1,881",09-Apr-2014
"1,862",10-Apr-2014
"1,876",11-Apr-2014
"1,870",14-Apr-2014
"1,860",15-Apr-2014
"1,849",16-Apr-2014
"1,872",17-Apr-2014
"1,860",22-Apr-2014
"1,868",23-Apr-2014
"1,849",24-Apr-2014
"1,837",25-Apr-2014
"1,834",28-Apr-2014
"1,831",29-Apr-2014
"1,835",30-Apr-2014
"1,808",01-May-2014
"1,806",02-May-2014
"1,801",06-May-2014
"1,788",07-May-2014
"1,784",08-May-2014
"1,771",09-May-2014
"1,761",12-May-2014
"1,812",13-May-2014
"1,794",14-May-2014
"1,820",15-May-2014
"1,825",16-May-2014
"1,839",19-May-2014
"1,857",20-May-2014
"1,865",21-May-2014
"1,883",22-May-2014
"1,903",23-May-2014
"1,913",27-May-2014
"1,922",28-May-2014
"1,932",29-May-2014
"1,950",30-May-2014
"1,945",02-Jun-2014
"1,946",03-Jun-2014
"1,961",04-Jun-2014
"1,958",05-Jun-2014
"1,953",06-Jun-2014
"1,956",09-Jun-2014
"1,961",10-Jun-2014
"1,984",11-Jun-2014
"1,964",12-Jun-2014
"1,973",13-Jun-2014
"1,960",16-Jun-2014
"1,970",17-Jun-2014
"1,974",18-Jun-2014
"1,964",19-Jun-2014
"1,965",20-Jun-2014
"1,948",23-Jun-2014
"1,940",24-Jun-2014
"1,950",25-Jun-2014
"1,942",26-Jun-2014
"1,988",27-Jun-2014
"1,979",30-Jun-2014
"1,962",01-Jul-2014
"1,957",02-Jul-2014
"1,954",03-Jul-2014
"1,952",04-Jul-2014
"1,948",07-Jul-2014
"1,952",08-Jul-2014
"1,933",09-Jul-2014
"1,949",10-Jul-2014
"1,959",11-Jul-2014
"1,960",14-Jul-2014
"1,953",15-Jul-2014
"1,944",16-Jul-2014
"1,916",17-Jul-2014
"1,930",18-Jul-2014
"1,948",21-Jul-2014
"1,958",22-Jul-2014
"1,988",23-Jul-2014
"1,986",24-Jul-2014
"1,983",25-Jul-2014
"1,962",28-Jul-2014
"1,980",29-Jul-2014
"2,004",30-Jul-2014
"2,019",31-Jul-2014
"2,014",01-Aug-2014
"2,013",04-Aug-2014
"2,007",05-Aug-2014
"2,024",06-Aug-2014
"2,027",07-Aug-2014
"2,027",08-Aug-2014
"2,026",11-Aug-2014
"2,029",12-Aug-2014
"2,047",13-Aug-2014
"2,072",14-Aug-2014
"2,075",15-Aug-2014
"2,076",18-Aug-2014
"2,052",19-Aug-2014
"2,068",20-Aug-2014
"2,052",21-Aug-2014
"2,057",22-Aug-2014
